Dir_Name_Display,Dir_School_Code,Dir_Street,Dir_City,Dir_State,Dir_Zip,Dir_School_Code - Longitude,Dir_School_Code - Latitude,Dir_Ward,Dir_Phone,Dir_Fax,Dir_Website,Principal_Name,Principal_Email,GR_Text,Hours,Highlight,Aca_Enr_1,Aca_Enr_2,Aca_Enr_3,Aca_Enr_4,Aca_Enr_5,Well_Fit_1,Well_Fit_2,Well_Fit_3,Well_Fit_4,Well_Fit_5,Art_Cult_1,Art_Cult_2,Art_Cult_3,Art_Cult_4,Art_Cult_5,SPED_1,SPED_2,SPED_3,SPED_4,SPED_5,SPED_6,Feed_1,Feed_2,Feed_3,Feed_4,Feed_5,Feed_6,Feed_7,Dest_1,Dest_2,Facil_Art,Facil_Audit,Facil_Comp,Facil_Gym,Facil_Media,Facil_Music,Facil_Outdoor_Rec,Facil_Pool,Facil_Science,After_care,Before_care,Uniform,Title_1,Offers_Guaranteed_PK3_PK4_Slots?,Family_Active_Parent_Org,Partner_1,Partner_2,Partner_3,Partner_4,Partner_5,Partner_6,Partner_7,Partner_8,Partner_9,Partner_10,Car_Path_1,Car_Path_2,Car_Path_3,Car_Path_4,Car_Path_5,Car_Path_6,Car_Path_7,Car_Path_8,Trans_Bus,Trans_Metro,AYP_Status,AYP_Status_Desc,Energy_Star_Rtg,DCPS_Recycles_Honor_Roll?,LEED_Level,Enroll_Total,Demo_Asian,Demo_Black,Demo_Hispanic,Demo_N.Amer,Demo_White,Demo_Multi,Demo_NHawPI,Demo_ELL,Demo_SPED,Demo_EconDis,Demo_Inboundary,math_pct_1_current,math_pct_1_prior,math_pct_2_current,math_pct_2_prior,math_pct_3_current,math_pct_3_prior,math_pct_4_current,math_pct_4_prior,math_pct_5_current,math_pct_5_prior,math_district_pct_1,math_district_pct_2,math_district_pct_3,math_district_pct_4,math_district_pct_5,ela_pct_1_current,ela_pct_1_prior,ela_pct_2_current,ela_pct_2_prior,ela_pct_3_current,ela_pct_3_prior,ela_pct_4_current,ela_pct_4_prior,ela_pct_5_current,ela_pct_5_prior,ela_district_pct_1,ela_district_pct_2,ela_district_pct_3,ela_district_pct_4,ela_district_pct_5,Perf_Grad_4yr_Current_Year,Perf_Grad_4yr_Prior_Year,Perf_Grad_4yr_District_Average,Perf_Grad_5yr_Current_Year,Perf_Grad_5yr_Prior_Year,Perf_Grad_5yr_District_Average,Perf_AP_Current_Year,Perf_AP_Prior_Year,Perf_AP_District_Average,Prog_Growth_Math_Current_Year,Prog_Growth_Math_Prior_Year,Prog_Growth_Math_District_Average,Prog_Growth_Read_Current_Year,Prog_Growth_Read_Prior_Year,Prog_Growth_Read_District_Average,Prog_9thGrade_Current_Year,Prog_9thGrade_Prior_Year,Prog_9thGrade_District_Average,Safe_ISA_Current_Year,Safe_ISA_Prior_Year,Safe_Attendance_District_Average,Safe_Truancy_Current_Year,Safe_Truancy_Prior_Year,Safe_Truancy_District_Average,Safe_Suspension_Current_Year,Safe_Suspension_Prior_Year,Safe_Suspension_District_Average,Safe_Incidents_Current_Year,Safe_Incidents_Prior_Year,Safe_Incidents_District_Average,Safe_Safety_Current_Year,Safe_Safety_Prior_Year,Safe_Safety_District_Average,Perf_Engage_Current_Year,Perf_Engage_Prior_Year,Perf_Engage_District_Average,Safe_Reenroll_Current_Year,Safe_Reenroll_Prior_Year,Safe_Reenroll_District_Average,Perf_Teachers_Current_Year,Perf_Teachers_Prior_Year,Perf_Teachers_District_Average,Unique_Defined1_Metric,Unique_Defined1_Description,Unique_Defined1_Current_Year,Unique_Defined1_Prior_Year,Unique_Defined1_District,Unique_Defined2_Metric,Unique_Defined2_Description,Unique_Defined2_Current_Year,Unique_Defined2_Prior_Year,Unique_Defined2_District
H.D. Cooke Elementary School,227,2525 17th St. NW,Washington,DC,20009,-77.03881058,38.92394309,1,(202) 939-5390,(202) 671-2757,http://www.hdcookeschool.org/,Katie Larkin,kathryn.larkin@dc.gov,PK3-5th,8:45 a.m. – 3:15 p.m.,"H.D. Cooke is a Global Studies school serving students in PK3 - 5th grade. At H.D. Cooke we use our Global Studies program and partnership with Project Zero to provide a framework of academic challenge that encourages students to embrace and understand the connections between traditional subjects and the real world. In addition to our Global Studies program, we also have School-wide Enrichment, with PK-5th grade students participating in Enrichment Clusters. H.D. Cooke was the first District of Columbia Public School System facility to achieve LEED Gold certification, and this year Cooke was on DCPS Recycles! Honor Roll with special distinction for our composting program. Students receive art, music, PE, and Spanish classes every week.",Kid Power,Jumpstart (Howard University),Reading Partners,STEM Nights,Lego Robotics,Recycling/Composting Program,Basketball Team,Veggie Time Organic Gardening,Ski Club,Girls on the Run/Boys on the Run,Monarch Schools Partnership,DC Scores (soccer and poetry),World Languages - Spanish,Embassy Adoption Program,,,,,,,,,,,,,,,442,,yes,no,yes,yes,yes,yes,yes,no,no,yes,no,yes,yes,no,yes,STEM 2 Living Classrooms,Kid Power,Live It Learn It,Reading Partners,Steptoe & Johnson,,,,,,,,,,,,,,42 43 90 96 H1 H2 H3 H4 L2 S1 S2 S4 S9 X3 DCCirculator,,Focus,Focus schools need targeted support to address large subgroup achievement gaps relative to all schools in DC. Focus schools must develop an intervention plan to address specified subgroups and report twice a year on planned milestones.,37,Yes with Distinction,Gold,420,5%,31%,59%,0%,4%,1%,0%,35%,11%,100%,50%,15%,17%,18%,22%,25%,27%,38%,30%,3%,4%,23%,27%,23%,23%,5%,28%,30%,26%,30%,27%,24%,16%,13%,3%,3%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,60%,60%,51%,48%,48%,54%,NA,NA,NA,93%,94%,93%,24%,10%,13%,1%,4%,4%,0%,0%,0%,95%,96%,85%,95%,99%,89%,81%,86%,81%,97%,94%,92%,PARCC math performance level change,The percentage of all 4-8 graders who moved up at least one performance level from one year to the next on the PARCC Math.,24%,28%,21%,PARCC ELA performance level change,The percentage of all 4-8 graders who moved up at least one performance level from one year to the next on the PARCC ELA.,38%,31%,35%
Bunker Hill Elementary School,219,1401 Michigan Ave NE,Washington,DC,20017,-76.98499564,38.94201247,5,(202) 576-6095,(202) 576-4632,http://profiles.dcps.dc.gov/Bunker+Hill+Elementary+School,Kara Kuchemba,kara.kuchemba@dc.gov,PK3-5th,8:00 a.m. - 4:30 p.m.,"Bunker Hill Elementary School is proud to be a collaborative learning community made up of the staff, students, and families we serve.  We offer a rigorous and joyful learning environment and instructional program focused on meeting the individual needs of our students and community. We are a member of the Turnaround Arts: DC cohort of schools and offer a variety of art integration strategies and opportunities to engage our students and the broader community.",Three-Year-Old Program,Four-Year-Old Program,Creative Curriculum for PK3 - PK4,Fundations,ST Math,Physical Education,,,,,Turnaround Arts: DC,Art Classes,Instrumental and Vocal Music,Spanish,DC Youth Orchestra,,,,,,,,,,,,,,,,yes,yes,yes,no,yes,yes,yes,no,no,yes,no,yes,yes,yes,no,DC Youth Orchestra,,,,,,,,,,,,,,,,,,80 E2 G8 H6 R4,,,,23,,,195,1%,79%,18%,0%,1%,1%,1%,12%,8%,100%,68%,26%,33%,25%,22%,25%,24%,20%,21%,5%,0%,23%,27%,23%,23%,5%,23%,19%,34%,22%,25%,41%,18%,17%,0%,0%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,34%,36%,51%,40%,57%,54%,NA,NA,NA,93%,92%,93%,11%,7%,13%,3%,13%,4%,0%,0%,0%,96%,67%,85%,99%,67%,89%,86%,77%,81%,100%,100%,92%,,,,,,,,,,
C.W. Harris Elementary School,247,301 53rd St. SE,Washington,DC,20019,-76.9261155,38.88359883,7,(202) 645-3188,(202) 645-3190,http://www.cwharriselementary.org/,Heather Hairston,heather.hairston2@dc.gov,PK3-5th,8:40 a.m. - 3:15 p.m.,"At C.W. Harris Elementary School, we challenge stereotypes, inspire hope and model practices that promote excellence for all.",Lexia,Reading Corps,FUNdations,Read 180,ST Math,Basketball,Rugby,,,,Girl Scouts,City Dance,,,,Behavior & Education Support,Early Learning Support,Independence & Learning Support,,,,,,,,,,,421,,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no,yes,CareFirst,United Planning Organization,Urban Outreach,DC Arts and Humanities Education Collaborative,Flamboyan Foundation,East River Family Strengthening Collaboration,Morehouse College DC Alumni,,,,,,,,,,,,96 97 E32 U5 U6 U8 W4,,Priority,"Priority schools need intense support to address overall low student performance, a graduation rate at or below 60% for two consecutive years, or for being previously designated a SIG school. Priority schools must develop an intervention plan that improves all students and report twice a year on meeting planned milestones.",47,Yes with Distinction,,285,0%,99%,1%,0%,0%,0%,0%,0%,22%,100%,66%,46%,51%,30%,23%,17%,17%,7%,9%,0%,0%,23%,27%,23%,23%,5%,50%,46%,28%,30%,17%,19%,6%,5%,0%,0%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,33%,28%,51%,37%,47%,54%,NA,NA,NA,90%,91%,93%,12%,8%,13%,13%,13%,4%,0%,0%,0%,77%,71%,85%,85%,90%,89%,79%,72%,81%,100%,76%,92%,,,,,,,,,,
Drew Elementary School,231,5600 Eads St. NE,Washington,DC,20019,-76.91992701,38.89599397,7,(202) 671-6040,(202) 724-4924,www.drewelementary.org,Naimah Salahuddin,naimah.salahuddin@dc.gov,PK3-5th,8:15 a.m. - 3:15 p.m.,"At Drew Elementary School, our primary objective is student progress and achievement. While we celebrate individual student differences, every student is encouraged and expected to do his or her best. In order to help our students succeed in the classroom, we individualize learning through the use of technology, as well as small group instruction. Through our core values, we focus on developing students' character. We treasure and promote our partnerships with parents, which also support our students' academic achievement and social emotional growth. At Drew ES, we discover success in every child, every day.",Three-Year-Old Program,Four-Year-Old Program,OST Academic Power Hour,STEM Club,Project Lead The Way,Ski Club,Basketball,Tennis,Cheerleading,Track and Field,Art Club,Student Government,Spanish Club,School Garden Club,Robotics Club,Early Learning Support,Specific Learning Support,,,,,,,,,,,,421,,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,Life Pieces to Masterpieces,Reading Partners,Live It Learn It,REACH Inc.,Levine Music,Martha's Table,AmeriCorps VISTA,,,,,,,,,,,,96 97 V2 V4 W4 X9,,Priority,"Priority schools need intense support to address overall low student performance, a graduation rate at or below 60% for two consecutive years, or for being previously designated a SIG school. Priority schools must develop an intervention plan that improves all students and report twice a year on meeting planned milestones.",62,Yes,,253,0%,98%,2%,0%,0%,0%,0%,1%,17%,100%,54%,40%,35%,34%,22%,17%,24%,9%,18%,0%,1%,23%,27%,23%,23%,5%,35%,33%,30%,23%,19%,21%,15%,23%,1%,1%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,22%,47%,51%,30%,45%,54%,NA,NA,NA,92%,92%,93%,3%,3%,13%,1%,0%,4%,0%,0%,0%,79%,77%,85%,76%,85%,89%,85%,89%,81%,100%,93%,92%,TRC Proficiency,The percentage of students in testing proficient or above proficient in Text Reading Comprehension (TRC).,66%,64%,70%,Home visits per 100 students,The number of home visits made per 100 students in the school.,64,NA,40
Eaton Elementary School,232,3301 Lowell St. NW,Washington,DC,20008,-77.06582114,38.93272707,3,(202) 282-0103,(202) 282-0074,eatondc.org,Dale Mann,dale.mann@dc.gov,PK4-5th,8:45 a.m.-3:15 p.m.,"John Eaton Elementary School attracts a diverse group of students from all four quadrants of the city. Due to our rich diversity, Eaton has been designated a World Cultures school. At John Eaton we believe in educating the whole child, and we invest ourselves in developing an enriching learning experience for our students. Eaton's staff and community provide opportunity for students to excel in academics, the arts, and athletics. Our students continue to give our school a high student satisfaction rating (between 95-97%). Eaton has been a designated a Reward School by OSSE. Our mission is to provide each Eaton student with a well-rounded 21st century education that prepares him or her, regardless of background or circumstance, for success in and beyond elementary school.",Coding,Lego Robotics,Financial Literacy ( Stockmarket Game) Club,GeoPlunge/ Continent Quest / Geography Bee,"AMC-8, Challenge 24 & MathCON Competitions",School Garden,OSSE P.A.Y. Grant Recipient,The Washington Ballet,Boy's and Girl's Running Club,Yoga,World Cultures Integration,Visual Arts,"Instrumental (Brass, Woodwinds Strings, Recorder), Vocal Music & Ensembles ( Marimba)",Chinese,Drama (Spring Musical),,,,,,,,,,,,,,246,,yes,no,yes,yes,yes,yes,yes,no,no,yes,yes,no,no,no,yes,John Eaton Home School Association,The Washington Ballet,Washington Performing Arts Society,Architects in the Classroom,Embassy Adoption Program,National Geographic,R.E.S.E.T. (Retired Engineers/Scientists),U.S. Chess Center,Museum of Science Fiction,Folger Shakespeare,,,,,,,,,30N 30S 31 33  37 96 D32 H3 H4 L1 L2 W47,,Reward,Reward schools have the highest levels of student performance and growth as demonstrated by an overall index score at or above 80 or growth in overall index score that falls in the top 5% of all schools in DC.,31,,,477,5%,23%,15%,0%,48%,9%,0%,8%,8%,12%,54%,1%,1%,7%,6%,21%,22%,48%,50%,22%,21%,23%,27%,23%,23%,5%,3%,2%,11%,7%,15%,19%,49%,49%,22%,22%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,70%,66%,51%,79%,83%,54%,NA,NA,NA,96%,97%,93%,0%,0%,13%,0%,0%,4%,0%,0%,0%,95%,97%,85%,99%,96%,89%,90%,91%,81%,94%,85%,92%,,,,,,,,,,
Garfield Elementary School,238,2435 Alabama Ave. SE,Washington,DC,20020,-76.97080478,38.85173338,8,(202) 671-6140,(202) 698-1614,http://www.garfieldprepacademy.org/,Kennard Branch,kennard.branch@dc.gov,PK3-5th,8:35 a.m. - 3:15 p.m,"Garfield Prep is an extended year, inquiry-based and blended learning school. Our vision is to deliver a year-round, inquiry-based and blended learning instructional model that is structured to develop rich content knowledge across all grade levels. As a result, our students will have the foundation needed to defy the rigors of college and excel in their future careers. We have a data-driven focus on fully integrating and coordinating resources and services to improve academic and socio-emotional outcomes for all students. Frequent and ongoing formative assessments help us determine the instructional approaches best suited to meet each student's needs. We work closely with our family and community partners to create a safe and orderly learning environment and to increase academic achievement for all students.",STREAM Program,Three and Four Year Old Program,Communication & Education Supports Program,Tools of the Mind,College Tribe Mentoring & Robotics,Girl Scouts,Salad Bar,"Cub Scouts, Troop 137",Cheerleading,Garfield Strike Force Drumline,Arts and Humanities Collaborative,DC Arts for Every School Partner,Embassy Adoption School,Junior Cadet Program,Live It Learn It,Communication & Education Support,Early Childhood Communication & Education Support,,,,,,,,,,,,416,,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,no,yes,City Year,Paul Hastings Law Firm,The Kennedy Center,Turning the Page,Far Southeast Family Strengthening Collaborative,,,,,,,,,,,,,,30N 30S 32 34 36 92 A32 D51 W2 W3 W4 W6 W8,,Priority,"Priority schools need intense support to address overall low student performance, a graduation rate at or below 60% for two consecutive years, or for being previously designated a SIG school. Priority schools must develop an intervention plan that improves all students and report twice a year on meeting planned milestones.",48,Yes with Distinction,,301,0%,98%,2%,0%,0%,0%,0%,0%,13%,100%,70%,27%,41%,30%,27%,23%,21%,19%,9%,1%,2%,23%,27%,23%,23%,5%,32%,39%,21%,26%,23%,20%,21%,15%,3%,1%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,47%,37%,51%,57%,54%,54%,NA,NA,NA,91%,94%,93%,8%,5%,13%,1%,2%,4%,0%,0%,0%,90%,92%,85%,100%,100%,89%,80%,75%,81%,91%,100%,92%,,,,,,,,,,
Garrison Elementary School,239,1200 S St. NW,Washington,DC,20009,-77.02861256,38.91390129,2,(202) 673-7263,(202) 673-6828,www.garrisonelementary.org/,Brigham Kiplinger,brigham.kiplinger@dc.gov,PK3-5th,8:35 a.m. - 3:15 p.m.,"Our mission at Garrison is to create a collaborative community where students and staff are invested in their work and question the world around them as responsible citizens and where teachers, parents and students work together to achieve excellence. We want to develop a community of learners with active, creative and empathetic minds, challenging students and staff to strive for growth. Our staff and students will be engaged in the community as our students find their place in the traditions of this historic neighborhood. We build our community through the principles of Responsive Classroom working to teach our children CARES: Cooperation, Assertion, Responsibility, Empathy and Self-control. Our goal is to create thoughtful, intelligent students through a rigorous and relevant curriculum.",Achieve Tutoring,National Honor Society,Tools of the Mind,,,DC Scores,Girls On the Run,Basketball Team,Meals for Minds,Power Tots,Youth Orchestra Program,Art Club,,,,Communication & Education Support,Early Childhood Communication & Education Support,Early Learning Support,,,,,,,,,,,454,,yes,yes,no,yes,yes,yes,yes,no,no,yes,yes,yes,yes,no,yes,Everybody Wins,Experience Corp,Girls on the Run,,,,,,,,,,,,,,,,52 53 54 63 64 70 79 90 92 96 G2 G8 S1 S2 S4 X3 DCCirculator,Green/Yellow Lines: U Street/African-American Civil War Memorial/Cardozo Station,Focus,Focus schools need targeted support to address large subgroup achievement gaps relative to all schools in DC. Focus schools must develop an intervention plan to address specified subgroups and report twice a year on planned milestones.,73,,,253,2%,52%,31%,0%,13%,2%,0%,13%,25%,100%,37%,35%,29%,32%,26%,17%,26%,15%,19%,0%,0%,23%,27%,23%,23%,5%,38%,47%,24%,29%,26%,10%,11%,14%,2%,0%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,36%,70%,51%,36%,49%,54%,NA,NA,NA,94%,93%,93%,10%,21%,13%,0%,2%,4%,0%,0%,0%,90%,87%,85%,96%,100%,89%,70%,70%,81%,91%,88%,92%,TRC Proficiency,The percentage of students in testing proficient or above proficient in Text Reading Comprehension (TRC).,78%,65%,70%,Home visits per 100 students,The number of home visits made per 100 students in the school.,81,90,40
Hardy Middle School,246,1819 35th St. NW,Washington,DC,20007,-77.0686139,38.91550903,2,(202) 729-4350,(202) 576-9443,www.hardyms.org,Lucas Cooke,lucas.cooke@dc.gov,6th-8th,8:45 a.m. – 3:15 p.m.,"Hardy Middle School is a comprehensive 6th through 8th grade school offering students and their families a dynamic educational environment, to include strong core academic curriculum with a focus on differentiation and the School Enrichment Model. We offer students advanced study opportunities in the classroom, selected team-taught extension modules, and semester electives. Students and teachers benefit from Pre-AP (Advanced Placement courses, College Board) support in connection with Wilson High School. Hardy Middle School shines its brightest, however, with a music and art program that is unparalleled at the middle school level throughout the Washington, DC metro region. Hardy Hawks show their spirit to fly above others with a focus on advancing their academic skills and their enthusiasm for music and the arts.",School Enrichment Model (SEM)/Renzulli Learning,Pre-AP (College Board),First in Math/iReady,Debate/Model UN/Newsela/Battle of the Books,STEM Fair/Robotics/Rocketry,Physical Education and Health,Ski Team Trips/Archery/Swimming,Football/Soccer/Wrestling/Lacrosse,Volleyball/Cross Country/Track,Basketball/Baseball/Softball,World Languages: Spanish/Italian/Chinese,Visual and Digital Arts,Jazz Band,Concert Band,Orchestra,Communication & Education Support,Independence & Learning Support,Sensory Support - Hearing,,,,232,252,272,273,321,,,463,,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,no,no,yes,NOAA Center for Atmospheric Science,Robotics Education Foundation,Georgetown University Tutors,Georgetown University Dept. of Neuroscience,Dunbarton Oaks,,,,,,,,,,,,,,30N 30S 31 33 37 D1 D2 D6 G2 DCCirculator,,Rising,Rising schools need support to continue growth. They have an overall index score above 44 but less than 80 and are not identified as Priority or Focus schools by any other criteria.,35,,,374,10%,53%,17%,0%,17%,3%,1%,7%,15%,45%,23%,16%,13%,24%,27%,29%,29%,28%,28%,3%,3%,23%,27%,23%,23%,5%,9%,14%,20%,20%,26%,26%,34%,32%,11%,8%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,50%,59%,51%,57%,58%,54%,NA,NA,NA,94%,94%,92%,0%,1%,19%,9%,16%,17%,0%,0%,1%,88%,83%,82%,81%,77%,75%,88%,85%,86%,96%,97%,92%,PARCC ELA performance level change,The percentage of all 4-8 graders who moved up at least one performance level from one year to the next on the PARCC ELA.,30%,35%,35%,Students with over 90% in-seat attendance,The percentage of students who have attended more than 90% of school days.,89%,88%,78%
Hearst Elementary School,258,3950 37th St. NW,Washington,DC,20008,-77.07195522,38.94072265,3,(202) 282-0106,(202) 282-2303,http://www.hearstes.org/,Jen Thomas,jen.thomas@dc.gov,PK4-5th,8:45 a.m. – 3:15 p.m.,"Our vision for Hearst is to be the best little school in the District. We are committed to providing all students with a rigorous curriculum integrated with exposure to the arts. We are also committed to ensuring that our school is responsive to the needs of our diverse learners. Our goals are to improve student learning, to partner with families to support students, and to provide our staff with a community that supports their professional learning.",Schoolwide Enrichment Model,Junior Great Books,Yearbook,M2 & M3 Math Enrichment,School Newspaper,Girls on the Run,Basketball,Track,Cross Country,Golf,Kennedy Center Partner,Musical Theater,Band,Art Classes,Chorus,Communication & Education Support,Early Childhood Communication & Education Support,,,,,,,,,,,,405,,yes,yes,no,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,yes,Flamboyan Foundation,Friendship Place,Sidwell Friends School,Kennedy Center,We Are Family Senior Outreach Network,Department of Parks and Recreation,,,,,,,,,,,,,30N 30S 31 33 37 96 D32 H2 H3 H4 W47,,Rising,Rising schools need support to continue growth. They have an overall index score above 44 but less than 80 and are not identified as Priority or Focus schools by any other criteria.,23,Yes with Distinction,In Progress,312,7%,34%,9%,1%,42%,7%,0%,15%,12%,15%,48%,1%,6%,14%,12%,24%,26%,43%,39%,18%,18%,23%,27%,23%,23%,5%,5%,8%,9%,16%,20%,21%,50%,37%,17%,18%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,55%,64%,51%,62%,69%,54%,NA,NA,NA,96%,96%,93%,0%,2%,13%,1%,3%,4%,0%,0%,0%,94%,91%,85%,94%,92%,89%,86%,86%,81%,87%,88%,92%,TRC Proficiency,The percentage of students in testing proficient or above proficient in Text Reading Comprehension (TRC).,92%,89%,70%,Home visits per 100 students,The number of home visits made per 100 students in the school.,75,69,40
Hendley Elementary School,249,425 Chesapeake St. SE,Washington,DC,20032,-76.99918485,38.82898591,8,(202) 645-3450,(202) 645-7098,profiles.dcps.dc.gov/Hendley+Elementary+School,Sundai Riggins,sundai.riggins@dc.gov,PK3-5th,8:45 a.m. – 3:15 p.m.,"At Hendley Elementary School, our goal is to help all of our students learn to think analytically and become independent, well-rounded individuals. We currently serve students in preschool through 5th grade. All of our students take music, art, physical education and library classes as well as their core academic courses. When asked, our students say that one of the things they like best about Hendley are the field trips they take to supplement what they learn in the classroom. For students as well as staff and parents, our school is a warm, welcoming place to be.",Hendley Garden,Monday Math Club,The Literacy Lab,Junior Great Books,Three-Year-Old & Four-Year-Old Programs,Play Works,Physical Education,Volleyball Team,Track Team,Basketball Team,Art Club,Mentoring,Girl Scouts,Hendley Choir,Embassy Adoption Program,Behavior & Education Support,,,,,,,,,,,,,413,,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,yes,yes,no,yes,Play Works,Character Counts,Washington Youth Garden,Junior Cadets,DC Greens,The Literacy Lab,Martha's Table Meals for Minds,Target,Giant,,,,,,,,,,A2 A6 A7 A8 A9 D12 D13 D14 NH1 P12 P18 P19 W1 W14,,Priority,"Priority schools need intense support to address overall low student performance, a graduation rate at or below 60% for two consecutive years, or for being previously designated a SIG school. Priority schools must develop an intervention plan that improves all students and report twice a year on meeting planned milestones.",63,,,445,0%,100%,0%,0%,0%,0%,0%,0%,11%,100%,86%,43%,71%,36%,18%,18%,8%,3%,2%,0%,0%,23%,27%,23%,23%,5%,47%,62%,32%,24%,17%,12%,4%,2%,0%,0%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,57%,24%,51%,48%,42%,54%,NA,NA,NA,89%,93%,93%,31%,10%,13%,8%,12%,4%,0%,0%,0%,93%,43%,85%,95%,50%,89%,69%,73%,81%,87%,100%,92%,PARCC ELA performance level change,The percentage of all 4-8 graders who moved up at least one performance level from one year to the next on the PARCC ELA.,40%,31%,35%,PARCC math performance level change,The percentage of all 4-8 graders who moved up at least one performance level from one year to the next on the PARCC Math.,38%,11%,21%
